Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1593996294.17271,26032,1574795816,56901931,navsat_link,2,1,40.66347474166667,-74.56449202166667,43.705999999999996,0.00893025,0.0,0.0,0.0,0.01265625,0.0,0.0,0.0,207.36,1
1593996294.3644211,26033,1574795816,249718904,navsat_link,2,1,40.66347368,-74.564490245,43.678999999999995,0.00893025,0.0,0.0,0.0,0.012454560000000002,0.0,0.0,0.0,207.36,1
1593996294.571164,26034,1574795816,456182003,navsat_link,2,1,40.66347209166667,-74.564487635,43.675000000000004,0.00876096,0.0,0.0,0.0,0.012454560000000002,0.0,0.0,0.0,207.36,1
1593996294.765625,26035,1574795816,650929927,navsat_link,2,1,40.66347026166667,-74.56448483166666,43.721,0.00876096,0.0,0.0,0.0,0.012454560000000002,0.0,0.0,0.0,207.36,1
1593996294.9572687,26036,1574795816,842778921,navsat_link,2,1,40.66346851833333,-74.56448270166666,43.74399999999999,0.00876096,0.0,0.0,0.0,0.012454560000000002,0.0,0.0,0.0,207.36,1
1593996295.1678045,26037,1574795817,53111076,navsat_link,2,1,40.663467051666665,-74.56448015666666,43.739,0.00876096,0.0,0.0,0.0,0.012254490000000002,0.0,0.0,0.0,207.36,1
1593996295.3621652,26038,1574795817,247257947,navsat_link,2,1,40.66346588,-74.56447746666667,43.644,0.00876096,0.0,0.0,0.0,0.012254490000000002,0.0,0.0,0.0,207.36,1
1593996295.5625918,26039,1574795817,448319911,navsat_link,2,1,40.663464506666664,-74.564474655,43.668,0.00876096,0.0,0.0,0.0,0.012254490000000002,0.0,0.0,0.0,207.36,1
1593996295.768502,26040,1574795817,653858900,navsat_link,2,1,40.66346343,-74.56447284666666,43.599,0.00876096,0.0,0.0,0.0,0.012254490000000002,0.0,0.0,0.0,207.36,1
1593996295.956452,26041,1574795817,841778039,navsat_link,2,1,40.663461463333334,-74.56446977,43.672999999999995,0.008593289999999998,0.0,0.0,0.0,0.012254490000000002,0.0,0.0,0.0,207.36,1
1593996296.1772912,26042,1574795818,62699079,navsat_link,2,1,40.66345988166667,-74.56446768833334,43.573,0.00876096,0.0,0.0,0.0,0.012454560000000002,0.0,0.0,0.0,207.36,1
1593996296.3611557,26043,1574795818,246431112,navsat_link,2,1,40.66345802166666,-74.56446514166667,43.529,0.008593289999999998,0.0,0.0,0.0,0.012254490000000002,0.0,0.0,0.0,207.36,1
1593996296.5592995,26044,1574795818,444730043,navsat_link,2,1,40.66345611166667,-74.56446321833333,43.526,0.008593289999999998,0.0,0.0,0.0,0.012056039999999999,0.0,0.0,0.0,207.36,1
1593996296.762227,26045,1574795818,647372007,navsat_link,2,1,40.663454298333335,-74.56446087,43.49399999999999,0.008593289999999998,0.0,0.0,0.0,0.012056039999999999,0.0,0.0,0.0,207.36,1
1593996296.9656296,26046,1574795818,850929975,navsat_link,2,1,40.663452248333336,-74.56445834666667,43.461999999999996,0.008593289999999998,0.0,0.0,0.0,0.012056039999999999,0.0,0.0,0.0,207.36,1
1593996297.1740582,26047,1574795819,59479951,navsat_link,2,1,40.663450448333336,-74.56445651166666,43.439,0.008593289999999998,0.0,0.0,0.0,0.012056039999999999,0.0,0.0,0.0,207.36,1
1593996297.3688512,26048,1574795819,254103899,navsat_link,2,1,40.66344874833333,-74.56445454833333,43.38999999999999,0.008593289999999998,0.0,0.0,0.0,0.011859209999999999,0.0,0.0,0.0,207.36,1
1593996297.5615435,26049,1574795819,447079896,navsat_link,2,1,40.66344800833333,-74.564453435,43.309000000000005,0.008593289999999998,0.0,0.0,0.0,0.011859209999999999,0.0,0.0,0.0,207.36,1
1593996297.767236,26050,1574795819,652604103,navsat_link,2,1,40.66344735,-74.56445258166667,43.346,0.008427239999999999,0.0,0.0,0.0,0.011859209999999999,0.0,0.0,0.0,207.36,1
1593996297.9608233,26051,1574795819,846333980,navsat_link,2,1,40.663446578333335,-74.56445095666666,43.327999999999996,0.008427239999999999,0.0,0.0,0.0,0.011859209999999999,0.0,0.0,0.0,207.36,1
1593996298.1802258,26052,1574795820,65639019,navsat_link,2,1,40.663445556666666,-74.56444861666667,43.287,0.008427239999999999,0.0,0.0,0.0,0.011663999999999999,0.0,0.0,0.0,207.36,1
1593996298.3650339,26053,1574795820,250633001,navsat_link,2,1,40.663444453333334,-74.56444549333334,43.266,0.008427239999999999,0.0,0.0,0.0,0.011663999999999999,0.0,0.0,0.0,207.36,1
1593996298.5640616,26054,1574795820,449335098,navsat_link,2,1,40.66344324666667,-74.564442555,43.26199999999999,0.008427239999999999,0.0,0.0,0.0,0.011663999999999999,0.0,0.0,0.0,207.36,1
1593996298.7666578,26055,1574795820,652013063,navsat_link,2,1,40.663441911666666,-74.56443965333334,43.24699999999999,0.008427239999999999,0.0,0.0,0.0,0.01147041,0.0,0.0,0.0,207.36,1
1593996298.9716048,26056,1574795820,857199907,navsat_link,2,1,40.66344007833333,-74.56443694666666,43.258,0.008427239999999999,0.0,0.0,0.0,0.01147041,0.0,0.0,0.0,207.36,1
1593996299.1701636,26057,1574795821,55223941,navsat_link,2,1,40.66343871666667,-74.564434495,43.187000000000005,0.008262810000000002,0.0,0.0,0.0,0.01147041,0.0,0.0,0.0,207.36,1
1593996299.3703604,26058,1574795821,255702972,navsat_link,2,1,40.66343735833333,-74.56443208499999,43.124,0.008262810000000002,0.0,0.0,0.0,0.01147041,0.0,0.0,0.0,207.36,1
1593996299.573831,26059,1574795821,458775997,navsat_link,2,1,40.66343573666666,-74.56442949333334,43.124,0.008262810000000002,0.0,0.0,0.0,0.01127844,0.0,0.0,0.0,207.36,1
1593996299.7791238,26060,1574795821,660672903,navsat_link,2,1,40.663433965,-74.564427075,43.089999999999996,0.008262810000000002,0.0,0.0,0.0,0.01127844,0.0,0.0,0.0,207.36,1
1593996299.9693472,26061,1574795821,852526903,navsat_link,2,1,40.66343222,-74.56442539666666,43.050000000000004,0.008262810000000002,0.0,0.0,0.0,0.01127844,0.0,0.0,0.0,207.36,1
1593996300.1903462,26062,1574795822,75329065,navsat_link,2,1,40.66342981,-74.56442350333333,43.068000000000005,0.008262810000000002,0.0,0.0,0.0,0.01127844,0.0,0.0,0.0,207.36,1
1593996300.376379,26063,1574795822,260796070,navsat_link,2,1,40.66342736166666,-74.56442183166666,43.049,0.008100000000000001,0.0,0.0,0.0,0.011088090000000002,0.0,0.0,0.0,207.36,1
1593996300.5731149,26064,1574795822,457602024,navsat_link,2,1,40.663425266666664,-74.56442018333334,42.995,0.008100000000000001,0.0,0.0,0.0,0.011088090000000002,0.0,0.0,0.0,207.36,1
1593996300.7709036,26065,1574795822,655957937,navsat_link,2,1,40.66342369833333,-74.564419075,42.954,0.008100000000000001,0.0,0.0,0.0,0.011088090000000002,0.0,0.0,0.0,207.36,1
