,x,y,z
297,1289516.75,-4670298.5,4134180.75
298,1289495.5,-4670300.5,4134188.75
299,1289523.0,-4670298.0,4134180.5
300,1289522.75,-4670298.0,4134180.5
301,1289518.25,-4670298.5,4134181.25
302,1289522.5,-4670298.0,4134180.5
303,1289495.375,-4670300.5,4134183.5
304,1289522.0,-4670298.5,4134180.5
305,1289495.375,-4670300.5,4134184.5
306,1289521.375,-4670298.5,4134180.5
307,1289515.25,-4670299.0,4134182.5
308,1289520.25,-4670298.5,4134180.5
309,1289495.125,-4670300.5,4134186.75
310,1289518.75,-4670298.5,4134180.75
311,1289495.125,-4670300.5,4134187.75
312,1289516.75,-4670298.5,4134180.75
313,1289518.125,-4670298.5,4134182.5
314,1289523.0,-4670298.0,4134180.5
315,1289516.625,-4670298.5,4134181.0
316,1289522.75,-4670298.0,4134180.5
317,1289515.0,-4670299.0,4134181.5
318,1289522.375,-4670298.0,4134180.5
319,1289495.25,-4670300.5,4134183.5
320,1289522.0,-4670298.5,4134180.5
321,1289495.25,-4670300.5,4134184.5
322,1289521.375,-4670298.5,4134180.5
323,1289495.125,-4670300.5,4134185.5
324,1289520.25,-4670298.5,4134180.5
325,1289495.125,-4670300.5,4134186.75
326,1289518.75,-4670298.5,4134180.75
327,1289518.125,-4670298.5,4134182.5
328,1289523.0,-4670298.0,4134180.5
329,1289516.625,-4670298.5,4134181.0
330,1289522.75,-4670298.0,4134180.5
331,1289516.5,-4670298.5,4134181.25
332,1289522.375,-4670298.0,4134180.5
333,1289514.875,-4670299.0,4134181.75
334,1289522.0,-4670298.5,4134180.5
335,1289521.375,-4670298.5,4134180.5
336,1289520.25,-4670298.5,4134180.5
337,1289518.75,-4670298.5,4134180.75
338,1289516.75,-4670298.5,4134180.75
339,1289523.0,-4670298.0,4134180.5
340,1289522.75,-4670298.0,4134180.5
341,1289516.5,-4670298.5,4134181.25
342,1289522.375,-4670298.0,4134180.5
343,1289515.0,-4670299.0,4134181.75
344,1289522.0,-4670298.0,4134180.5
345,1289515.75,-4670298.5,4134182.0
346,1289521.375,-4670298.5,4134180.5
347,1289520.25,-4670298.5,4134180.5
348,1289517.75,-4670298.5,4134180.5
349,1289517.25,-4670298.5,4134180.75
350,1289523.0,-4670298.0,4134180.5
351,1289516.625,-4670298.5,4134181.0
352,1289522.75,-4670298.0,4134180.5
353,1289516.5,-4670298.5,4134181.25
354,1289522.375,-4670298.0,4134180.5
355,1289515.125,-4670298.5,4134181.75
356,1289522.0,-4670298.0,4134180.5
357,1289521.375,-4670298.5,4134180.5
358,1289520.25,-4670298.5,4134180.5
359,1289518.75,-4670298.5,4134180.75
360,1289517.125,-4670298.5,4134180.75
361,1289523.0,-4670298.0,4134180.5
362,1289516.75,-4670298.5,4134181.0
363,1289522.75,-4670298.0,4134180.5
364,1289513.375,-4670299.0,4134181.5
365,1289522.375,-4670298.0,4134180.5
366,1289514.875,-4670298.5,4134181.75
367,1289522.0,-4670298.0,4134180.5
368,1289521.375,-4670298.5,4134180.5
369,1289520.125,-4670298.5,4134180.5
370,1289516.25,-4670298.5,4134182.5
371,1289519.0,-4670298.5,4134180.75
372,1289516.75,-4670298.5,4134180.75
373,1289485.875,-4670300.5,4134191.25
374,1289523.0,-4670298.0,4134180.5
375,1289516.5,-4670298.5,4134181.0
376,1289522.75,-4670298.0,4134180.5
377,1289514.75,-4670298.5,4134181.5
378,1289522.375,-4670298.0,4134180.5
379,1289514.625,-4670298.5,4134181.75
380,1289522.0,-4670298.0,4134180.5
381,1289521.375,-4670298.5,4134180.5
382,1289520.125,-4670298.5,4134180.5
383,1289516.25,-4670298.5,4134182.5
384,1289518.875,-4670298.5,4134180.75
385,1289485.5,-4670300.5,4134190.0
386,1289516.75,-4670298.5,4134180.75
387,1289485.875,-4670300.5,4134191.25
388,1289523.0,-4670298.0,4134180.5
389,1289516.5,-4670298.5,4134181.0
390,1289522.75,-4670298.0,4134180.5
391,1289515.125,-4670298.5,4134181.5
392,1289522.375,-4670298.0,4134180.5
393,1289515.125,-4670298.5,4134181.75
394,1289522.125,-4670298.0,4134180.5
395,1289485.625,-4670300.5,4134185.75
396,1289521.375,-4670298.0,4134180.5
397,1289485.625,-4670300.5,4134187.0
398,1289520.375,-4670298.5,4134180.5
399,1289485.75,-4670300.5,4134188.5
400,1289517.625,-4670298.5,4134180.5
401,1289485.875,-4670300.5,4134189.75
402,1289517.125,-4670298.5,4134180.75
403,1289523.0,-4670298.0,4134180.5
404,1289516.5,-4670298.5,4134181.0
405,1289522.75,-4670298.0,4134180.5
406,1289514.75,-4670298.5,4134181.5
407,1289522.375,-4670298.0,4134180.5
408,1289485.625,-4670300.0,4134184.25
409,1289522.125,-4670298.0,4134180.5
410,1289485.625,-4670300.0,4134185.75
411,1289521.375,-4670298.0,4134180.5
412,1289485.75,-4670300.0,4134187.0
413,1289520.125,-4670298.5,4134180.5
414,1289485.875,-4670300.0,4134188.5
415,1289486.0,-4670300.0,4134189.75
416,1289517.125,-4670298.5,4134180.75
417,1289486.25,-4670300.0,4134191.25
418,1289523.0,-4670298.0,4134180.5
419,1289515.125,-4670298.5,4134181.0
420,1289522.75,-4670298.0,4134180.5
421,1289514.75,-4670298.5,4134181.5
422,1289522.375,-4670298.0,4134180.5
423,1289485.75,-4670300.0,4134184.25
424,1289522.125,-4670298.0,4134180.5
425,1289485.625,-4670300.0,4134185.75
426,1289521.375,-4670298.0,4134180.5
427,1289485.625,-4670300.0,4134187.0
428,1289520.25,-4670298.5,4134180.5
429,1289485.875,-4670300.0,4134188.5
430,1289517.75,-4670298.5,4134180.5
431,1289486.125,-4670300.0,4134189.75
432,1289515.75,-4670298.5,4134180.75
433,1289486.25,-4670300.0,4134191.25
434,1289523.0,-4670298.0,4134180.5
435,1289515.375,-4670298.5,4134181.0
